Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1989-11-03,26-259,CHI,,CLE,W (+5),1,47:00,19,31,.613,1,2,.500,15,17,.882,3,11,14,6,3,1,0,3,54,51.2
2,2,1989-11-04,26-260,CHI,,BOS,L (-2),1,34:00,10,18,.556,0,3,.000,4,6,.667,0,5,5,6,5,1,4,5,24,20.0
3,3,1989-11-07,26-263,CHI,,DET,W (+3),1,44:00,13,24,.542,0,2,.000,14,17,.824,2,3,5,7,3,0,4,1,40,33.0
4,4,1989-11-08,26-264,CHI,@,MIN,W (+12),1,40:00,15,24,.625,1,1,1.000,14,14,1.000,1,5,6,2,2,0,3,2,45,36.0
5,5,1989-11-10,26-266,CHI,@,NJN,L (-10),1,41:00,8,22,.364,0,0,,10,11,.909,3,3,6,5,2,0,2,4,26,18.3
6,6,1989-11-11,26-267,CHI,,SEA,W (+7),1,34:00,8,15,.533,1,2,.500,8,9,.889,0,4,4,6,3,1,4,4,25,20.8
7,7,1989-11-14,26-270,CHI,@,SAC,W (+2),1,40:00,11,25,.440,1,1,1.000,4,8,.500,6,7,13,7,2,0,4,2,27,20.7
8,8,1989-11-15,26-271,CHI,@,UTA,L (-1),1,38:00,12,26,.462,0,3,.000,16,19,.842,1,9,10,3,1,0,2,3,40,28.7
9,9,1989-11-18,26-274,CHI,@,SEA,L (-9),1,39:00,12,26,.462,3,8,.375,5,7,.714,3,3,6,7,1,0,2,3,32,23.5
10,10,1989-11-21,26-277,CHI,@,POR,L (-11),1,36:00,5,13,.385,1,3,.333,5,6,.833,0,0,0,7,2,0,4,1,16,11.0
11,11,1989-11-22,26-278,CHI,@,PHO,W (+5),1,44:00,12,30,.400,1,3,.333,9,10,.900,2,5,7,7,2,0,2,2,34,24.4
12,12,1989-11-25,26-281,CHI,@,GSW,W (+13),1,41:00,12,29,.414,1,5,.200,4,5,.800,6,8,14,9,3,0,3,3,29,24.8
13,13,1989-11-26,26-282,CHI,@,LAC,L (-24),1,33:00,9,18,.500,1,2,.500,7,10,.700,3,4,7,4,2,2,7,3,26,17.1
