Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1988-11-04,25-261,CHI,,DET,L (-13),1,43:00,10,19,.526,0,2,.000,8,12,.667,1,4,5,7,5,2,2,5,28,26.3
2,2,1988-11-05,25-262,CHI,@,WSB,W (+13),1,39:00,9,21,.429,0,0,,11,12,.917,0,2,2,7,3,0,5,4,29,19.4
3,3,1988-11-08,25-265,CHI,@,NYK,L (-9),1,39:00,13,21,.619,2,3,.667,3,3,1.000,2,1,3,9,2,0,4,5,31,25.5
4,4,1988-11-09,25-266,CHI,@,BOS,W (+6),1,42:00,18,33,.545,2,4,.500,14,16,.875,0,3,3,2,9,2,2,4,52,44.4
5,5,1988-11-11,25-268,CHI,,NJN,W (+12),1,41:00,14,24,.583,0,1,.000,8,11,.727,1,5,6,3,3,4,6,2,36,26.9
6,6,1988-11-12,25-269,CHI,@,NJN,L (-6),1,43:00,17,31,.548,0,3,.000,8,12,.667,2,5,7,6,3,1,1,2,42,34.5
7,7,1988-11-15,25-272,CHI,,PHI,W (+13),1,43:00,14,27,.519,0,0,,5,6,.833,1,5,6,6,5,1,3,2,33,27.6
8,8,1988-11-16,25-273,CHI,@,PHI,L (-13),1,43:00,24,29,.828,0,1,.000,4,4,1.000,3,6,9,1,4,2,4,2,52,46.5
9,9,1988-11-18,25-275,CHI,,ATL,W (+3),1,49:00,12,21,.571,0,0,,10,13,.769,1,8,9,9,1,0,6,4,34,25.7
10,10,1988-11-22,25-279,CHI,@,SAC,W (+16),1,38:00,16,20,.800,0,0,,0,0,,1,10,11,8,1,1,2,3,32,32.2
11,11,1988-11-23,25-280,CHI,@,LAC,L (-8),1,41:00,7,15,.467,1,2,.500,11,12,.917,2,10,12,7,5,4,6,4,26,27.4
12,12,1988-11-26,25-283,CHI,@,DEN,L (-5),1,44:00,19,27,.704,3,5,.600,11,14,.786,2,9,11,7,1,0,6,3,52,42.3
13,13,1988-11-29,25-286,CHI,@,GSW,L (-10),1,43:00,11,24,.458,0,1,.000,4,4,1.000,2,8,10,7,4,0,3,3,26,22.1
14,14,1988-11-30,25-287,CHI,@,UTA,L (-14),1,39:00,11,25,.440,0,1,.000,11,13,.846,4,4,8,5,2,1,3,1,33,25.9
15,15,1988-12-03,25-290,CHI,@,DAL,W (+13),1,43:00,16,31,.516,0,0,,7,8,.875,3,8,11,6,2,3,2,5,39,32.1
16,16,1988-12-06,25-293,CHI,,BOS,W (+5),1,43:00,14,20,.700,0,0,,10,11,.909,2,7,9,5,5,0,6,4,38,33.6
17,17,1988-12-07,25-294,CHI,@,DET,L (-13),1,40:00,4,16,.250,0,0,,10,11,.909,3,4,7,7,1,2,3,1,18,15.2
18,18,1988-12-09,25-296,CHI,,MIL,W (+18),1,40:00,10,17,.588,0,2,.000,15,17,.882,3,8,11,5,1,1,5,3,35,29.8
19,19,1988-12-10,25-297,CHI,,MIA,W (+23),1,37:00,14,25,.560,1,2,.500,9,10,.900,2,9,11,4,2,0,1,3,38,32.4
20,20,1988-12-13,25-300,CHI,,ATL,L (-18),1,41:00,11,24,.458,0,1,.000,6,6,1.000,2,12,14,6,2,0,1,3,28,24.6
21,21,1988-12-16,25-303,CHI,,IND,W (+7),1,38:00,10,22,.455,0,3,.000,8,9,.889,3,4,7,7,6,0,2,4,28,26.8
22,22,1988-12-17,25-304,CHI,@,MIL,W (+19),1,40:00,12,25,.480,0,1,.000,12,12,1.000,0,6,6,5,3,0,3,2,36,27.8
23,23,1988-12-20,25-307,CHI,,LAL,W (+13),1,39:00,11,23,.478,2,3,.667,18,22,.818,4,3,7,8,4,0,1,0,42,41.0
24,24,1988-12-23,25-310,CHI,@,CHH,L (-2),1,41:00,14,26,.538,0,0,,5,6,.833,2,3,5,4,6,0,7,5,33,22.1
25,25,1988-12-27,25-314,CHI,,CLE,L (-11),1,42:00,18,30,.600,1,1,1.000,6,6,1.000,3,9,12,4,3,0,4,3,43,34.6
26,26,1988-12-29,25-316,CHI,,NYK,W (+2),1,40:00,14,27,.519,0,2,.000,9,12,.750,1,8,9,3,3,0,3,2,37,26.9
27,27,1988-12-30,25-317,CHI,@,IND,W (+16),1,37:00,13,26,.500,0,0,,5,5,1.000,2,5,7,4,4,2,2,1,31,26.7
28,28,1989-01-03,25-321,CHI,,LAC,W (+5),1,47:00,15,30,.500,0,3,.000,11,15,.733,1,9,10,11,6,0,4,5,41,35.5
29,29,1989-01-05,25-323,CHI,@,CLE,L (-5),1,41:00,13,24,.542,1,2,.500,5,5,1.000,2,9,11,7,2,0,2,2,32,28.6
30,30,1989-01-06,25-324,CHI,,UTA,L (-14),1,37:00,12,21,.571,0,0,,3,5,.600,1,4,5,4,2,1,2,2,27,20.9
31,31,1989-01-10,25-328,CHI,@,ATL,W (+3),1,41:00,17,29,.586,0,2,.000,14,16,.875,4,6,10,9,3,0,4,2,48,42.8
32,32,1989-01-11,25-329,CHI,@,CHH,W (+5),1,40:00,7,15,.467,0,0,,10,11,.909,1,3,4,10,3,1,6,4,24,20.6
33,33,1989-01-13,25-331,CHI,,DEN,W (+5),1,46:00,13,24,.542,0,1,.000,12,13,.923,1,11,12,11,3,0,6,4,38,33.1
34,34,1989-01-15,25-333,CHI,,BOS,W (+6),1,41:00,13,23,.565,0,3,.000,16,17,.941,1,8,9,11,8,0,2,2,42,46.7
35,35,1989-01-17,25-335,CHI,,IND,W (+7),1,44:00,10,18,.556,0,1,.000,2,4,.500,1,5,6,13,4,1,2,4,22,25.0
36,36,1989-01-19,25-337,CHI,@,MIA,W (+4),1,41:00,14,25,.560,0,1,.000,6,8,.750,3,2,5,7,2,1,1,3,34,29.4
37,37,1989-01-21,25-339,CHI,,PHO,L (-9),1,41:00,20,28,.714,0,0,,13,15,.867,1,13,14,8,2,1,4,4,53,47.9
38,38,1989-01-24,25-342,CHI,,DAL,W (+18),1,33:00,10,20,.500,0,1,.000,4,5,.800,1,2,3,6,3,0,1,1,24,20.7
39,39,1989-01-25,25-343,CHI,@,PHI,L (-12),1,45:00,14,25,.560,0,0,,5,5,1.000,0,6,6,12,2,1,2,5,33,30.0
40,40,1989-01-27,25-345,CHI,,WSB,W (+11),1,39:00,14,25,.560,0,0,,5,8,.625,3,8,11,9,3,1,1,4,33,31.8
41,41,1989-01-31,25-349,CHI,,DET,L (-6),1,41:00,7,24,.292,0,1,.000,7,10,.700,3,9,12,10,2,1,5,6,21,12.9
42,42,1989-02-02,25-351,CHI,,SAC,W (+11),1,40:00,15,21,.714,0,0,,10,12,.833,1,6,7,8,4,0,6,2,40,35.8
