Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1987-11-07,24-263,CHI,,PHI,W (+10),1,38:00,15,25,.600,0,0,,6,10,.600,2,3,5,3,6,4,2,3,36,32.9
2,2,1987-11-10,24-266,CHI,@,ATL,W (+10),1,42:00,11,23,.478,1,3,.333,6,9,.667,0,6,6,7,1,1,3,3,29,20.3
3,3,1987-11-11,24-267,CHI,@,NJN,W (+9),1,40:00,10,20,.500,0,1,.000,11,13,.846,1,2,3,4,2,0,5,4,31,19.7
4,4,1987-11-13,24-269,CHI,,NJN,W (+18),1,35:00,10,19,.526,0,0,,16,17,.941,3,4,7,5,6,1,3,1,36,36.4
5,5,1987-11-14,24-270,CHI,,IND,L (-1),1,40:00,14,29,.483,0,0,,9,11,.818,3,2,5,5,4,1,3,3,37,28.2
6,6,1987-11-17,24-273,CHI,,WSB,W (+4),1,36:00,10,18,.556,0,0,,6,6,1.000,0,3,3,7,2,1,3,3,26,21.7
7,7,1987-11-18,24-274,CHI,@,WSB,W (+2),1,40:00,9,21,.429,0,1,.000,12,12,1.000,1,2,3,8,3,1,2,3,30,26.3
8,8,1987-11-20,24-276,CHI,,ATL,W (+2),1,40:00,10,22,.455,0,0,,13,14,.929,0,7,7,7,4,4,2,3,33,31.8
9,9,1987-11-21,24-277,CHI,,DET,L (-12),1,44:00,17,38,.447,0,2,.000,15,17,.882,2,4,6,8,6,1,4,6,49,36.9
10,10,1987-11-23,24-279,CHI,@,BOS,W (+5),1,41:00,12,26,.462,0,0,,7,10,.700,4,6,10,3,4,0,5,5,31,20.1
11,11,1987-11-25,24-281,CHI,@,MIL,W (+2),1,39:00,13,24,.542,0,1,.000,7,8,.875,1,2,3,6,3,1,1,5,33,27.2
12,12,1987-11-27,24-283,CHI,@,DAL,L (-1),1,45:00,8,20,.400,0,1,.000,9,9,1.000,1,5,6,9,3,1,3,2,25,22.6
