Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1985-10-25,22-250,CHI,,CLE,W (+1),1,39:00,13,26,.500,0,0,,3,4,.750,3,3,6,3,3,0,3,5,29,18.7
2,2,1985-10-26,22-251,CHI,,DET,W (+3),1,41:00,9,24,.375,0,0,,15,16,.938,2,5,7,6,2,3,6,5,33,22.6
3,3,1985-10-29,22-254,CHI,@,GSW,W (+6),1,18:00,6,10,.600,0,0,,0,0,,0,2,2,2,0,0,1,1,12,8.0
4,4,1986-03-15,23-026,CHI,,MIL,L (-9),0,13:00,4,7,.571,0,0,,4,7,.571,0,1,1,2,1,0,1,2,12,8.4
5,5,1986-03-17,23-028,CHI,@,ATL,L (-10),0,14:00,4,16,.250,0,1,.000,9,10,.900,3,1,4,1,7,1,1,0,17,16.8
6,6,1986-03-19,23-030,CHI,@,PHI,L (-6),0,15:00,4,14,.286,0,2,.000,4,6,.667,4,0,4,3,2,2,1,1,12,9.9
7,7,1986-03-21,23-032,CHI,@,BOS,L (-21),0,16:00,7,16,.438,0,1,.000,6,7,.857,2,0,2,1,0,1,1,3,20,11.8
8,8,1986-03-22,23-033,CHI,@,CLE,L (-26),0,16:00,4,13,.308,0,0,,0,1,.000,1,0,1,1,0,0,1,2,8,-0.3
9,9,1986-03-25,23-036,CHI,,NYK,W (+13),0,19:00,5,12,.417,0,1,.000,9,9,1.000,1,2,3,3,1,0,2,3,19,13.8
10,10,1986-03-28,23-039,CHI,@,NJN,L (-11),0,22:00,9,15,.600,0,0,,4,6,.667,0,1,1,3,5,0,3,4,22,17.1
11,11,1986-03-29,23-040,CHI,@,NYK,W (+10),0,23:00,10,17,.588,0,1,.000,4,6,.667,1,0,1,1,1,3,4,2,24,15.0
12,12,1986-04-01,23-043,CHI,@,MIL,L (-9),0,26:00,8,16,.500,0,1,.000,12,12,1.000,1,4,5,2,1,3,1,2,28,24.6
13,13,1986-04-03,23-045,CHI,@,IND,W (+1),0,28:00,12,19,.632,0,0,,2,4,.500,1,4,5,3,3,2,3,1,26,21.7
14,14,1986-04-05,23-047,CHI,,ATL,W (+5),0,31:00,10,21,.476,2,3,.667,8,9,.889,1,2,3,3,1,1,4,1,30,19.6
15,15,1986-04-07,23-049,CHI,,MIL,W (+6),1,31:00,10,18,.556,1,3,.333,5,5,1.000,1,4,5,7,1,3,2,3,26,24.1
16,16,1986-04-08,23-050,CHI,@,ATL,L (-13),1,33:00,12,25,.480,0,2,.000,6,6,1.000,1,5,6,6,2,1,7,2,30,18.6
17,17,1986-04-11,23-053,CHI,,WSB,W (+2),1,37:00,12,36,.333,0,1,.000,7,10,.700,1,4,5,2,3,1,2,5,31,12.4
18,18,1986-04-13,23-055,CHI,@,CLE,L (-7),1,29:00,11,23,.478,0,2,.000,7,7,1.000,0,3,3,4,4,0,2,4,29,21.4
