Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1986-11-01,23-257,CHI,@,NYK,W (+5),1,41:00,15,31,.484,0,0,,20,22,.909,2,4,6,3,4,3,6,2,50,37.5
2,2,1986-11-02,23-258,CHI,@,CLE,W (+5),1,39:00,16,31,.516,0,0,,9,12,.750,6,2,8,2,0,4,3,3,41,29.3
3,3,1986-11-04,23-260,CHI,,SAS,W (+7),1,44:00,14,31,.452,0,1,.000,6,13,.462,3,5,8,5,4,2,6,2,34,20.8
4,4,1986-11-07,23-263,CHI,@,DET,L (-6),1,42:00,11,26,.423,0,1,.000,11,15,.733,0,0,0,5,1,1,3,4,33,18.2
5,5,1986-11-08,23-264,CHI,,PHO,W (+5),1,39:00,17,27,.630,0,0,,5,5,1.000,3,3,6,3,5,0,3,2,39,33.2
6,6,1986-11-11,23-267,CHI,,ATL,W (+2),1,39:00,14,32,.438,0,0,,6,6,1.000,4,1,5,3,1,3,5,4,34,18.9
7,7,1986-11-12,23-268,CHI,@,WSB,L (-2),1,39:00,9,25,.360,0,1,.000,10,12,.833,0,4,4,4,3,1,4,4,28,15.4
8,8,1986-11-14,23-270,CHI,,BOS,L (-12),1,41:00,17,33,.515,1,1,1.000,13,14,.929,2,3,5,1,2,1,0,3,48,35.8
9,9,1986-11-21,23-277,CHI,,NYK,W (+2),1,40:00,14,26,.538,0,0,,12,15,.800,1,5,6,4,3,2,2,2,40,32.8
10,10,1986-11-22,23-278,CHI,,WSB,W (+9),1,39:00,10,26,.385,0,0,,2,3,.667,2,7,9,4,3,1,3,3,22,13.2
11,11,1986-11-26,23-282,CHI,@,DEN,L (-2),1,41:00,13,31,.419,0,0,,11,14,.786,2,7,9,3,1,3,2,5,37,24.0
12,12,1986-11-28,23-284,CHI,@,LAL,L (-7),1,45:00,19,43,.442,0,1,.000,3,4,.750,8,2,10,3,1,1,3,4,41,23.5
13,13,1986-11-29,23-285,CHI,@,GSW,L (-7),1,42:00,11,30,.367,0,1,.000,18,19,.947,3,2,5,6,4,0,2,3,40,30.7
14,14,1986-12-02,23-288,CHI,@,SEA,W (+6),1,48:00,13,30,.433,0,0,,14,15,.933,5,4,9,6,3,6,4,3,40,34.7
15,15,1986-12-03,23-289,CHI,@,UTA,L (-5),1,40:00,17,33,.515,0,2,.000,11,13,.846,0,3,3,3,6,1,2,3,45,34.4
16,16,1986-12-05,23-291,CHI,@,PHO,L (-2),1,41:00,15,37,.405,0,0,,13,17,.765,2,2,4,2,3,1,1,1,43,27.2
17,17,1986-12-06,23-292,CHI,@,SAS,L (-9),1,44:00,18,38,.474,0,2,.000,7,7,1.000,5,0,5,3,1,1,2,4,43,27.3
18,18,1986-12-09,23-295,CHI,,DEN,W (+6),1,42:00,16,30,.533,0,0,,8,9,.889,2,4,6,6,3,4,3,3,40,33.4
19,19,1986-12-10,23-296,CHI,@,ATL,L (-28),1,39:00,15,25,.600,0,0,,11,12,.917,2,2,4,4,3,0,3,3,41,32.7
20,20,1986-12-12,23-298,CHI,@,MIL,W (+13),1,39:00,16,24,.667,0,0,,9,11,.818,0,5,5,3,2,0,2,5,41,31.4
