YEAR,ERA,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
1985,1985-89,Larry Bird,,Boston Celtics,49.6,28.7,10.5,6.6,1.2
1986,1985-89,Larry Bird,,Boston Celtics,49.6,25.8,9.8,6.8,0.6
1987,1985-89,Magic Johnson,F,Los Angeles Lakers,0.522,23.9,6.3,12.2,0.5
1988,1985-89,Michael Jordan,G,Chicago Bulls,0.535,35,5.5,5.9,1.6
1989,1985-89,Magic Johnson,F,Los Angeles Lakers,0.509,22.5,7.9,12.8,0.3
1990,1990-94,Magic Johnson,F,Los Angeles Lakers,0.48,22.3,6.6,11.5,0.4
1991,1990-94,Michael Jordan,G,Chicago Bulls,0.539,31.5,6,5.5,1
1992,1990-94,Michael Jordan,G,Chicago Bulls,0.519,30.1,6.4,6.1,0.9
1993,1990-94,Charles Barkley,F,Phoenix Suns,0.52,25.6,12.2,5.1,1
1994,1990-94,Hakeem Olajuwon,C,Houston Rockets,0.528,27.3,11.9,3.6,3.7
1995,1995-99,David Robinson,C,San Antonio Spurs,0.53,27.6,10.8,2.9,3.2
1996,1995-99,Michael Jordan,G,Chicago Bulls,0.495,30.4,6.6,4.3,0.5
1997,1995-99,Karl Malone,PF,Utah Jazz,0.55,27.4,9.9,4.5,0.6
1998,1995-99,Michael Jordan,G,Chicago Bulls,0.465,28.7,5.8,3.5,0.5
1999,1995-99,Karl Malone,PF,Utah Jazz,0.493,23.8,9.4,4.1,0.6
2000,2000-04,Shaquille O'Neal,C,Los Angeles Lakers,0.574,29.7,13.6,3.8,3
2001,2000-04,Allen Iverson,SG,Philadelphia 76ers,0.42,31.1,3.8,4.6,0.3
2002,2000-04,Tim Duncan,C,San Antonio Spurs,0.508,25.5,12.7,3.7,2.5
2003,2000-04,Tim Duncan,C,San Antonio Spurs,0.513,23.3,12.9,3.9,2.9
2004,2000-04,Kevin Garnett,PF,Minnesota Timberwolves,0.499,24.2,13.9,5,2.2
2005,2005-09,Steve Nash,PG,Phoenix Suns,0.502,15.5,3.3,11.5,0.1
2006,2005-09,Steve Nash,PG,Phoenix Suns,0.512,18.8,4.2,10.5,0.2
2007,2005-09,Dirk Nowitzki,F,Dallas Mavericks,0.502,24.6,8.9,3.4,0.8
2008,2005-09,Kobe Bryant,SF,Los Angeles Lakers,0.459,28.3,6.3,5.4,0.5
2009,2005-09,LeBron James,SF,Cleveland Cavaliers,0.489,28.4,7.6,7.2,1.1
2010,2010-14,LeBron James,SF,Cleveland Cavaliers,0.503,29.7,7.3,8.6,1
2011,2010-14,Derrick Rose,PG,Chicago Bulls,0.445,25,4.1,7.7,0.6
2012,2010-14,LeBron James,SF,Miami Heat,0.531,27.1,7.9,6.2,0.8
2013,2010-14,LeBron James,F,Miami Heat,0.565,26.8,8,7.3,0.9
2014,2010-14,Kevin Durant,F,Oklahoma City Thunder,0.503,32,7.4,5.5,0.7
2015,2015-19,Stephen Curry,G,Golden State Warriors,0.487,23.8,4.3,7.7,0.2
2016,2015-19,Stephen Curry,G,Golden State Warriors,0.504,30.1,5.4,6.7,0.2
2017,2015-19,Russell Westbrook,G,Oklahoma City Thunder,0.425,31.6,10.7,10.4,0.4
2018,2015-19,James Harden,G,Houston Rockets,0.449,30.4,5.4,8.8,0.7
2019,2015-19,Giannis Antetokounmpo,F,Milwaukee Bucks,0.578,27.7,12.5,5.9,1.5
