PLAYER,YEAR,ERA,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
Stephen Curry,2019,2015-19,G,Golden State Warriors,0.472,27.3,5.3,5.2,0.4
James Harden,2019,2015-19,G,Houston Rockets,0.442,36.1,6.6,7.5,0.7
Paul George,2019,2015-19,F,Oklahoma City Thunder,0.438,28,8.2,4.1,0.4
Giannis Antetokounmpo,2019,2015-19,F,Milwaukee Bucks,0.578,27.7,12.5,5.9,1.5
Nikola Jokic,2019,2015-19,C,Denver Nuggets,0.511,20.1,10.8,7.3,0.7
LeBron James,2018,2015-19,F,Cleveland Cavaliers,0.542,27.5,8.6,9.1,0.9
Kevin Durant,2018,2015-19,F,Golden State Warriors,0.516,26.4,6.8,5.4,1.8
James Harden,2018,2015-19,G,Houston Rockets,0.449,30.4,5.4,8.8,0.7
Anthony Davis,2018,2015-19,F,New Orleans Pelicans,0.534,28.1,11.1,2.3,2.6
Damian Lillard,2018,2015-19,G,Portland Trail Blazers,0.439,26.9,4.5,6.6,0.4
LeBron James,2017,2015-19,F,Cleveland Cavaliers,0.548,26.4,8.6,8.7,0.6
Russell Westbrook,2017,2015-19,G,Oklahoma City Thunder,0.425,31.6,10.7,10.4,0.4
James Harden,2017,2015-19,G,Houston Rockets,0.44,29.1,8.1,11.2,0.5
Kawhi Leonard,2017,2015-19,F,San Antonio Spurs,0.485,25.5,5.8,3.5,0.7
Anthony Davis,2017,2015-19,F,New Orleans Pelicans,0.505,28,11.8,2.1,2.2
LeBron James,2016,2015-19,F,Cleveland Cavaliers,0.52,25.3,7.4,6.8,0.6
DeAndre Jordan,2016,2015-19,C,LA Clippers,0.703,12.7,13.8,1.2,2.3
Russell Westbrook,2016,2015-19,G,Oklahoma City Thunder,0.454,23.5,7.8,10.4,0.3
Stephen Curry,2016,2015-19,G,Golden State Warriors,0.504,30.1,5.4,6.7,0.2
Kawhi Leonard,2016,2015-19,F,San Antonio Spurs,0.505,21.2,6.8,2.6,1
LeBron James,2015,2015-19,F,Cleveland Cavaliers,0.488,25.3,6,7.4,0.7
Marc Gasol,2015,2015-19,C,Memphis Grizzlies,0.494,17.4,7.8,3.8,1.6
Stephen Curry,2015,2015-19,G,Golden State Warriors,0.487,23.8,4.3,7.7,0.2
James Harden,2015,2015-19,G,Houston Rockets,0.44,27.4,5.7,7,0.7
Anthony Davis,2015,2015-19,F,New Orleans Pelicans,0.535,24.4,10.2,2.2,2.9
LeBron James,2014,2010-14,F,Miami Heat,0.567,27.1,6.9,6.4,0.3
Chris Paul,2014,2010-14,G,LA Clippers,0.467,19.1,4.3,10.7,0.1
Kevin Durant,2014,2010-14,F,Oklahoma City Thunder,0.503,32,7.4,5.5,0.7
Joakim Noah,2014,2010-14,C,Chicago Bulls,0.475,12.6,11.3,5.4,1.5
James Harden,2014,2010-14,G,Houston Rockets,0.456,25.4,4.7,6.1,0.4
Kobe Bryant,2013,2010-14,G,Los Angeles Lakers,0.463,27.3,5.6,6,0.3
Tim Duncan,2013,2010-14,F,San Antonio Spurs,0.502,17.8,9.9,2.7,2.7
LeBron James,2013,2010-14,F,Miami Heat,0.565,26.8,8,7.3,0.9
Chris Paul,2013,2010-14,G,LA Clippers,0.481,16.9,3.7,9.7,0.1
Kevin Durant,2013,2010-14,F,Oklahoma City Thunder,0.51,28.1,7.9,4.6,1.3
Kobe Bryant,2012,2010-14,G,Los Angeles Lakers,0.43,27.9,5.4,4.6,0.3
LeBron James,2012,2010-14,F,Miami Heat,0.531,27.1,7.9,6.2,0.8
Dwight Howard,2012,2010-14,C,Los Angeles Lakers,0.573,20.6,14.5,1.9,2.1
